,Date Posted,Address,Area,Price,Number of Bedrooms,Number of Toilets,Category,City,Price Level,Number of Rooms,Furniture,District,Price Range
99,14/10/2024,"Số 16a ngõ 523, Phố Kim Mã, Phường Ngọc Khánh, Ba Đình, Hà Nội",45.0,13000000.0,13.0,13.0,Nhà riêng,Hà Nội,5,13.0,Unspecified,Ba đình,10 - 40 triệu
100,14/10/2024,"Dự án Bcons Polygon, Phường An Bình, Dĩ An, Bình Dương",60.0,6000000.0,2.0,2.0,Căn hộ chung cư,Bình Dương,4,2.0,Basic,Dĩ an,5 - 10 triệu
101,12/10/2024,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",62.0,8000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Unspecified,Bình tân,5 - 10 triệu
102,10/10/2024,"201, Đường Trường Chinh, Phường Hạ Đình, Thanh Xuân, Hà Nội",139.0,,,,Văn phòng,Hà Nội,-1,1.0,Basic,Thanh xuân,Thỏa thuận
103,14/10/2024,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh.",75.0,17000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Unspecified,Quận 2,10 - 40 triệu
104,14/10/2024,"Đường Phú Mỹ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",22.0,5000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Hà Nội,4,1.0,Fully Furnished,Nam từ liêm,5 - 10 triệu
105,14/10/2024,"Đường Trường Sơn, Phường 2, Tân Bình, Hồ Chí Minh",60.0,15000000.0,,1.0,Văn phòng,Thành phố Hồ Chí Minh,5,1.0,Basic,Tân bình,10 - 40 triệu
106,14/10/2024,"Geleximco Southern Star, Đường Giải Phóng, Phường Giáp Bát, Hoàng Mai, Hà Nội",50.0,12000000.0,,1.0,Văn phòng,Hà Nội,5,1.0,Fully Furnished,Hoàng mai,10 - 40 triệu
107,14/10/2024,"38, Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",25.0,4000000.0,,,Văn phòng,Hà Nội,3,1.0,Fully Furnished,Cầu giấy,3 - 5 triệu
108,14/10/2024,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",40.0,9000000.0,1.0,1.0,Căn hộ chung cư,Hà Nội,4,1.0,Basic,Nam từ liêm,5 - 10 triệu
